iter	Passed	Remaining
0	101	100953
1	108	54018
2	117	38971
3	122	30560
4	133	26549
5	139	23044
6	148	21041
7	155	19240
8	163	18036
9	168	16693
10	174	15680
11	181	14920
12	186	14125
13	191	13522
14	198	13066
15	203	12523
16	211	12216
17	216	11809
18	221	11426
19	230	11270
20	234	10947
21	243	10810
22	247	10532
23	252	10276
24	260	10169
25	265	9950
26	270	9744
27	278	9664
28	282	9471
29	287	9296
30	295	9246
31	300	9095
32	306	8976
33	313	8903
34	318	8770
35	326	8749
36	331	8630
37	336	8515
38	344	8479
39	348	8372
40	354	8290
41	361	8247
42	366	8151
43	371	8081
44	380	8074
45	387	8041
46	395	8014
47	400	7948
48	409	7945
49	416	7910
50	435	8100
51	445	8127
52	458	8184
53	465	8163
54	486	8350
55	495	8358
56	511	8465
57	528	8587
58	534	8520
59	548	8585
60	555	8545
61	565	8548
62	571	8493
63	582	8519
64	595	8563
65	615	8712
66	646	9002
67	659	9035
68	685	9252
69	710	9440
70	723	9465
71	737	9499
72	751	9544
73	767	9607
74	778	9606
75	801	9743
76	816	9785
77	840	9934
78	862	10050
79	881	10138
80	899	10207
81	916	10256
82	930	10285
83	939	10244
84	966	10405
85	986	10489
86	999	10491
87	1011	10487
88	1017	10410
89	1022	10333
90	1042	10410
91	1050	10366
92	1055	10289
93	1063	10250
94	1068	10175
95	1091	10274
96	1101	10252
97	1107	10192
98	1116	10159
99	1119	10072
100	1121	9979
101	1139	10030
102	1147	9995
103	1149	9906
104	1152	9826
105	1164	9821
106	1169	9759
107	1172	9680
108	1179	9640
109	1184	9581
110	1191	9542
111	1197	9491
112	1200	9419
113	1207	9384
114	1212	9333
115	1217	9277
116	1224	9244
117	1228	9181
118	1232	9126
119	1238	9079
120	1245	9051
121	1264	9100
122	1269	9049
123	1277	9025
124	1282	8978
125	1288	8934
126	1296	8909
127	1301	8869
128	1307	8831
129	1312	8784
130	1319	8755
131	1325	8714
132	1328	8658
133	1334	8627
134	1340	8592
135	1345	8549
136	1353	8524
137	1358	8484
138	1362	8442
139	1373	8439
140	1378	8399
141	1387	8384
142	1392	8344
143	1396	8302
144	1405	8286
145	1409	8245
146	1414	8205
147	1421	8183
148	1425	8144
149	1430	8108
150	1438	8089
151	1443	8054
152	1451	8037
153	1456	8001
154	1461	7965
155	1469	7950
156	1472	7908
157	1477	7875
158	1486	7860
159	1490	7826
160	1495	7794
161	1503	7779
162	1508	7744
163	1521	7756
164	1526	7724
165	1534	7710
166	1539	7680
167	1545	7655
168	1553	7639
169	1558	7610
170	1567	7598
171	1571	7566
172	1576	7538
173	1584	7523
174	1590	7496
175	1598	7485
176	1604	7458
177	1614	7453
178	1621	7435
179	1641	7479
180	1657	7501
181	1668	7497
182	1677	7488
183	1682	7460
184	1688	7439
185	1694	7414
186	1701	7396
187	1708	7377
188	1713	7352
189	1718	7327
190	1724	7305
191	1729	7280
192	1738	7268
193	1744	7246
194	1749	7222
195	1756	7204
196	1763	7186
197	1769	7168
198	1775	7146
199	1780	7122
200	1786	7100
201	1791	7078
202	1797	7056
203	1802	7034
204	1807	7010
205	1812	6987
206	1819	6969
207	1825	6951
208	1838	6959
209	1849	6957
210	1865	6974
211	1878	6981
212	1888	6978
213	1897	6969
214	1914	6990
215	1921	6975
216	1935	6982
217	1955	7014
218	1968	7018
219	1983	7031
220	1998	7046
221	2008	7040
222	2017	7028
223	2028	7028
224	2035	7010
225	2042	6995
226	2047	6973
227	2054	6955
228	2060	6935
229	2067	6922
230	2079	6923
231	2084	6902
232	2093	6890
233	2101	6880
234	2107	6860
235	2117	6855
236	2122	6832
237	2126	6809
238	2135	6799
239	2140	6778
240	2148	6767
241	2153	6746
242	2158	6725
243	2167	6715
244	2172	6694
245	2177	6674
246	2185	6662
247	2190	6641
248	2195	6622
249	2201	6604
250	2206	6583
251	2214	6572
252	2218	6551
253	2227	6540
254	2232	6522
255	2237	6502
256	2244	6489
257	2249	6470
258	2254	6451
259	2262	6439
260	2267	6419
261	2274	6407
262	2279	6388
263	2291	6388
264	2296	6370
265	2301	6351
266	2309	6341
267	2315	6323
268	2323	6313
269	2337	6320
270	2344	6307
271	2349	6288
272	2357	6278
273	2361	6258
274	2366	6239
275	2374	6227
276	2378	6209
277	2386	6199
278	2392	6182
279	2397	6164
280	2405	6155
281	2410	6137
282	2417	6124
283	2424	6112
284	2431	6099
285	2437	6085
286	2442	6067
287	2450	6057
288	2455	6040
289	2460	6024
290	2468	6014
291	2473	5997
292	2481	5987
293	2486	5970
294	2491	5954
295	2499	5945
296	2505	5930
297	2513	5920
298	2518	5904
299	2524	5889
300	2530	5876
